dir,nelect,vbm,cbm,gap,direct
Ag2Ba1Sn1Se4_stannite,140,2.931064,4.545674,1.614610,False
Ag2Ba1Sn1Te4_kesterite,140,4.578427,4.686090,0.107663,False
Ag2Ba1Sn1Te4_stannite,140,4.735764,5.730801,0.995037,False
Ag2Ba1Zr1S1Se1Te2_kesterite,544,3.055401,4.264104,1.208703,True
Ag2Ba1Zr1S1Se1Te2_stannite,544,3.155645,4.940147,1.784502,True
Ag2Ba1Zr1S1Se2Te1_kesterite,544,3.092486,4.392552,1.300066,True
Ag2Ba1Zr1S1Se3_kesterite,544,3.152610,5.021185,1.868575,False
Ag2Ba1Zr1S1Se3_stannite,544,3.878779,5.255563,1.376784,True
Ag2Ba1Zr1S1Te3_stannite,544,3.294068,4.933250,1.639182,True
Ag2Ba1Zr1S2Se1Te1_kesterite,544,3.158484,4.666367,1.507883,True
Ag2Ba1Zr1S2Se1Te1_stannite,544,3.268798,5.068811,1.800013,True
Ag2Ba1Zr1S2Se2_kesterite,544,2.363389,4.556124,2.192735,False
Ag2Ba1Zr1S2Se2_stannite,544,2.709226,4.995969,2.286743,True
Ag2Ba1Zr1S2Te2_kesterite,544,3.886034,5.255645,1.369611,True
Ag2Ba1Zr1S2Te2_stannite,544,4.851795,6.175746,1.323951,True
Ag2Ba1Zr1S3Se1_kesterite,544,2.619650,4.761181,2.141531,False
Ag2Ba1Zr1S3Te1_kesterite,544,3.556933,4.873905,1.316972,False
Ag2Ba1Zr1S4_kesterite,544,3.437610,5.586931,2.149321,False
Ag2Ba1Zr1S4_stannite,544,3.549760,5.747292,2.197532,True
Ag2Ba1Zr1Se2Te2_kesterite,544,2.877274,4.527339,1.650065,False
Ag2Ba1Zr1Se2Te2_stannite,544,3.109661,4.924313,1.814652,True
Ag2Ba1Zr1Se3Te1_kesterite,544,2.904775,4.297788,1.393013,True
Ag2Ba1Zr1Se4_kesterite,544,3.347446,5.067641,1.720195,False
Ag2Ba1Zr1Se4_stannite,544,3.390184,5.238597,1.848413,True
Ag2Ba1Zr1Te4_kesterite,544,3.779339,5.057626,1.278287,False
Ag2Ba1Zr1Te4_stannite,544,3.862470,5.344550,1.482080,True
Ag2Ca0.5Ba0.5Ge1S4_kesterite,560,3.025496,4.898552,1.873056,False
Ag2Ca0.5Ba0.5Ge1S4_stannite,560,3.200432,5.692725,2.492293,True
Ag2Ca0.5Ba0.5Ge1Se4_kesterite,560,2.281521,3.807767,1.526246,False
Ag2Ca0.5Ba0.5Ge1Se4_stannite,560,2.689340,4.279123,1.589783,True
Ag2Ca0.5Ba0.5Sn1S4_kesterite,560,3.217572,5.195476,1.977904,False
