compound,defect,cdir,nelect,F,conv,lat_match
Ag1Al0.5In0.5Se2_kesterite,In_Al,Charged+1,2228,-.11774838E+04,1,0
Ag1Al0.5In0.5Se2_kesterite,In_Al,Charged+2,2227,-.11810117E+04,1,0
Ag1Al0.5In0.5Se2_kesterite,In_Al,Charged-1,2230,-.11702516E+04,1,0
Ag1Al0.5In0.5Se2_kesterite,In_Al,Charged-2,2231,-.11665254E+04,1,0
Ag1Al0.5In0.5Se2_kesterite,In_Al,Neutral,2229.0000,-.11738867E+04,1,0
Ag1Al0.5In0.5Se2_kesterite,V_Ag,Charged+1,2220,-.11815968E+04,1,0
Ag1Al0.5In0.5Se2_kesterite,V_Ag,Charged+2,2219,-.11850655E+04,1,0
Ag1Al0.5In0.5Se2_kesterite,V_Ag,Charged-1,2222,-.11744987E+04,1,0
Ag1Al0.5In0.5Se2_kesterite,V_Ag,Charged-2,2223,-.11705019E+04,1,0
Ag1Al0.5In0.5Se2_kesterite,V_Ag,Neutral,2221.0000,-.11780470E+04,1,0
Ag1Al0.5In0.5Se2_kesterite,V_Al,Charged+1,2228,-.11774839E+04,1,0
Ag1Al0.5In0.5Se2_kesterite,V_Al,Charged+2,2227,-.11810141E+04,1,0
Ag1Al0.5In0.5Se2_kesterite,V_Al,Charged-1,2230,-.11702505E+04,1,0
Ag1Al0.5In0.5Se2_kesterite,V_Al,Charged-2,2231,-.11665261E+04,1,0
Ag1Al0.5In0.5Se2_kesterite,V_Al,Neutral,2229.0000,-.11738980E+04,1,0
Ag1Al0.5In0.5Se2_kesterite,V_Se,Charged+1,2225,-.11793172E+04,1,0
Ag1Al0.5In0.5Se2_kesterite,V_Se,Charged+2,2224,-.11832207E+04,1,0
Ag1Al0.5In0.5Se2_kesterite,V_Se,Charged-1,2227,-.11722404E+04,1,0
Ag1Al0.5In0.5Se2_kesterite,V_Se,Charged-2,2228,-.11681797E+04,1,0
Ag1Al0.5In0.5Se2_kesterite,V_Se,Neutral,2226.0000,-.11762734E+04,1,0
Ag1Al0.5In0.5Se2_stannite,Ag_i,Charged+1,2242,-.11833727E+04,1,0
Ag1Al0.5In0.5Se2_stannite,Ag_i,Charged+2,2241,-.11872323E+04,1,0
Ag1Al0.5In0.5Se2_stannite,Ag_i,Charged-1,2244,-.11755744E+04,1,0
Ag1Al0.5In0.5Se2_stannite,Ag_i,Charged-2,2245,-.11706714E+04,1,0
Ag1Al0.5In0.5Se2_stannite,Ag_i,Neutral,2243.0000,-.11795171E+04,1,0
Ag1Al0.5In0.5Se2_stannite,Al_i,Charged+1,2234,-.11841247E+04,1,0
Ag1Al0.5In0.5Se2_stannite,Al_i,Charged+2,2233,-.11880084E+04,1,0
Ag1Al0.5In0.5Se2_stannite,Al_i,Charged-1,2236,-.11732630E+04,1,0
Ag1Al0.5In0.5Se2_stannite,Al_i,Charged-2,2237,-.11715266E+04,1,0
Ag1Al0.5In0.5Se2_stannite,Al_i,Neutral,2235.0000,-.11802196E+04,1,0
Ag1Al0.5In0.5Se2_stannite,V_Se,Charged+1,2225,-.11754527E+04,1,0
Ag1Al0.5In0.5Se2_stannite,V_Se,Charged+2,2224,-.11792153E+04,1,0
Ag1Al0.5In0.5Se2_stannite,V_Se,Charged-1,2227,-.11677519E+04,1,0
Ag1Al0.5In0.5Se2_stannite,V_Se,Charged-2,2228,-.11637762E+04,1,0
Ag1Al0.5In0.5Se2_stannite,V_Se,Neutral,2226.0000,-.11716816E+04,1,0
Ag1Al0.5In0.5Te2_stannite,V_Al,Charged+1,2228,-.10684130E+04,1,0
Ag1Al0.5In0.5Te2_stannite,V_Al,Charged+2,2227,-.10731417E+04,1,0
Ag1Al0.5In0.5Te2_stannite,V_Al,Charged-1,2230,-.10587188E+04,1,0
Ag1Al0.5In0.5Te2_stannite,V_Al,Charged-2,2231,-.10538029E+04,1,0
Ag1Al0.5In0.5Te2_stannite,V_Al,Neutral,2229.0000,-.10635863E+04,1,0
Ag1Al1S1Se1_kesterite,Ag_S,Charged+1,1876,-.13149958E+04,1,0
Ag1Al1S1Se1_kesterite,Ag_S,Charged+2,1875,-.13189534E+04,1,0
Ag1Al1S1Se1_kesterite,Ag_S,Charged-1,1878,-.13041903E+04,1,0
Ag1Al1S1Se1_kesterite,Ag_S,Charged-2,1879,-.12987261E+04,1,0
Ag1Al1S1Se1_kesterite,Ag_S,Neutral,1877.0000,-.13096151E+04,1,0
Ag1Al1S1Se1_kesterite,Se_Ag,Charged+1,1866,-.13173438E+04,1,0
Ag1Al1S1Se1_kesterite,Se_Ag,Charged+2,1865,-.13217967E+04,1,0
Ag1Al1S1Se1_kesterite,Se_Ag,Charged-1,1868,-.13091932E+04,1,0
Ag1Al1S1Se1_kesterite,Se_Ag,Charged-2,1869,-.13038142E+04,1,0
Ag1Al1S1Se1_kesterite,Se_Ag,Neutral,1867.0000,-.13119598E+04,1,0
Ag1Al1S1Se1_kesterite,Se_S,Charged+1,1871,-.13176735E+04,1,0
Ag1Al1S1Se1_kesterite,Se_S,Charged+2,1870,-.13215575E+04,1,0
Ag1Al1S1Se1_kesterite,Se_S,Charged-1,1873,-.13083559E+04,1,0
Ag1Al1S1Se1_kesterite,Se_S,Charged-2,1874,-.13029228E+04,1,0
Ag1Al1S1Se1_kesterite,Se_S,Neutral,1872.0000,-.13137371E+04,1,0
Ag1Al1S1Se1_kesterite,V_Se,Charged+1,1865,-.13115676E+04,1,0
Ag1Al1S1Se1_kesterite,V_Se,Charged+2,1864,-.13168501E+04,1,0
Ag1Al1S1Se1_kesterite,V_Se,Charged-1,1867,-.13034177E+04,1,0
Ag1Al1S1Se1_kesterite,V_Se,Charged-2,1868,-.12980437E+04,1,0
Ag1Al1S1Se1_kesterite,V_Se,Neutral,1866.0000,-.13087511E+04,1,0
Ag1Al1S2_kesterite,Al_S,Charged+1,1868,-.13812087E+04,1,0
Ag1Al1S2_kesterite,Al_S,Charged+2,1867,-.13860303E+04,1,0
Ag1Al1S2_kesterite,Al_S,Charged-1,1870,-.13694488E+04,1,0
Ag1Al1S2_kesterite,Al_S,Charged-2,1871,-.13635311E+04,1,0
Ag1Al1S2_kesterite,Al_S,Neutral,1869.0000,-.13755751E+04,1,0
Ag1Al1S2_kesterite,V_S,Charged+1,1865,-.13771026E+04,1,0
