compound,d_eform,d_edec,d_eps,d_slme,pass
Ag2Ba1Sn0.5Ge0.5Se4_stannite,3.046875018952733e-08,2.4374999441079126e-07,0.0,0.0,True
Ag2Ba1Sn0.5Zr0.5S4_kesterite,5.1562500047452886e-08,4.1249999327419573e-07,8.881784197001252e-16,0.0,True
Ag2Ba1Sn0.5Zr0.5S4_stannite,3.171875118113121e-08,2.5374999523819497e-07,0.0,0.0,True
Ag2Ba1Sn0.5Zr0.5Se4_kesterite,2.656249975530045e-08,2.1249999093697625e-07,3.333333342681044e-08,0.0,True
Ag2Ba1Sn0.5Zr0.5Se4_stannite,6.656250040038003e-08,5.325000103084676e-07,3.333333253863202e-08,0.0,True
Ag2Ba1Sn0.5Zr0.5Te4_stannite,4.171875023217808e-08,3.33750008962852e-07,3.333333342681044e-08,0.0,True
Ag2Ba1Sn1S1Se1Te2_stannite,3.8281249059579636e-08,3.0624999425299393e-07,3.333333342681044e-08,0.0,True
Ag2Ba1Sn1S1Se3_stannite,5.5781249397313104e-08,4.462499987312185e-07,8.881784197001252e-16,0.0,True
Ag2Ba1Sn1S1Te3_kesterite,4.421874955085059e-08,3.537499964068047e-07,0.0,0.0,True
Ag2Ba1Sn1S1Te3_stannite,4.390625019112804e-08,3.512500015290243e-07,3.333333342681044e-08,0.0,True
Ag2Ba1Sn1S2Se1Te1_kesterite,5.7499998984411604e-08,4.599999954280065e-07,3.333333342681044e-08,0.0,True
Ag2Ba1Sn1S2Se1Te1_stannite,7.265625034946765e-08,5.812499992430276e-07,0.0,0.0,True
Ag2Ba1Sn1S2Se2_kesterite,4.6718750645879936e-08,3.737500051670395e-07,0.0,,False
Ag2Ba1Sn1S2Se2_stannite,1.0937499794749783e-08,8.749999835799827e-08,3.333333342681044e-08,0.0,True
Ag2Ba1Sn1S2Te2_kesterite,1.828125029135208e-08,1.4625000233081664e-07,3.333333342681044e-08,0.0,True
Ag2Ba1Sn1S2Te2_stannite,4.1562500108227596e-08,3.3250000086582077e-07,3.333333431498886e-08,0.0,True
Ag2Ba1Sn1S3Se1_stannite,2.3593750064776486e-08,1.887500005182119e-07,0.0,0.0,True
Ag2Ba1Sn1S3Te1_kesterite,3.890624977742618e-08,3.1124999821940946e-07,3.333333253863202e-08,0.0,True
Ag2Ba1Sn1S3Te1_stannite,2.2187499837400537e-08,1.774999986992043e-07,0.0,0.0,True
Ag2Ba1Sn1S4_kesterite,2.7500000943092573e-08,2.200000039920269e-07,3.333333253863202e-08,0.0,True
Ag2Ba1Sn1Se1Te3_kesterite,4.1718750454222686e-08,3.3375000185742465e-07,8.881784197001252e-16,0.0005000000000023874,True
Ag2Ba1Sn1Se2Te2_kesterite,7.796875056698127e-08,6.237500045358502e-07,3.333333342681044e-08,0.0057000000000009265,True
Ag2Ba1Sn1Se2Te2_stannite,1.0781249670799298e-08,8.624999736639438e-08,0.0,0.0,True
Ag2Ba1Sn1Se3Te1_kesterite,1.9531249950688334e-08,1.5625000315822035e-07,3.333333342681044e-08,0.0,True
Ag2Ba1Sn1Se3Te1_stannite,3.937499970518843e-08,3.150000011942211e-07,3.333333253863202e-08,0.0,True
Ag2Ba1Sn1Se4_kesterite,2.937500021005235e-08,2.350000016804188e-07,3.333333342681044e-08,0.0017999999999993577,True
Ag2Ba1Sn1Se4_stannite,6.874999680661631e-09,5.5000000998006726e-08,3.333333342681044e-08,0.0,True
Ag2Ba1Sn1Te4_kesterite,1.8749999775025117e-08,1.4999999820020093e-07,3.333333253863202e-08,1.4852999999999996,False
Ag2Ba1Sn1Te4_stannite,2.937500021005235e-08,2.350000016804188e-07,3.333333342681044e-08,0.0,True
Ag2Ba1Zr1S1Se1Te2_kesterite,7.812495095294025e-10,6.24999785259206e-09,3.333333431498886e-08,0.0,True
Ag2Ba1Zr1S1Se1Te2_stannite,1.1250000264695359e-08,8.999999323577867e-08,3.333333342681044e-08,0.0,True
Ag2Ba1Zr1S1Se2Te1_kesterite,1.0624999990938022e-08,8.49999963747905e-08,3.333333253863202e-08,0.0,True
Ag2Ba1Zr1S1Se3_kesterite,4.484375004665253e-08,3.5875000037322025e-07,3.333333342681044e-08,0.0,True
Ag2Ba1Zr1S1Se3_stannite,3.109374890897243e-08,2.487499983772068e-07,8.881784197001252e-16,0.0,True
Ag2Ba1Zr1S1Te3_stannite,4.4687500366791255e-08,3.5749999938161636e-07,3.333333342681044e-08,0.0,True
Ag2Ba1Zr1S2Se1Te1_kesterite,7.499999865601126e-08,5.999999999062311e-07,3.333333342681044e-08,0.0,True
Ag2Ba1Zr1S2Se1Te1_stannite,2.0781250054113798e-08,1.6625000398562406e-07,3.333333342681044e-08,0.0,True
Ag2Ba1Zr1S2Se2_kesterite,1.9843749310410885e-08,1.5874999803600076e-07,3.333333342681044e-08,,False
Ag2Ba1Zr1S2Se2_stannite,5.374999956231363e-08,4.3000000005122274e-07,3.333333342681044e-08,0.0,True
Ag2Ba1Zr1S2Te2_kesterite,4.843749978888923e-08,3.8749999475840013e-07,0.0,0.0,True
Ag2Ba1Zr1S2Te2_stannite,8.750001168067456e-09,7.000000579182597e-08,3.333333253863202e-08,0.0,True
Ag2Ba1Zr1S3Se1_kesterite,5.6718751473283646e-08,4.537500046808418e-07,3.333333298272123e-08,0.0,True
Ag2Ba1Zr1S3Te1_kesterite,2.8906249838200893e-08,2.3124999870560714e-07,3.333333342681044e-08,0.0,True
Ag2Ba1Zr1S4_kesterite,3.937500059336685e-08,3.150000011942211e-07,3.333333342681044e-08,0.0,True
Ag2Ba1Zr1S4_stannite,2.4374999352261284e-08,1.9499999837080395e-07,0.0,0.0,True
Ag2Ba1Zr1Se2Te2_kesterite,3.234375034466552e-08,2.587499992046105e-07,3.333333342681044e-08,0.0,True
Ag2Ba1Zr1Se2Te2_stannite,7.359374931681373e-08,5.887499980872235e-07,3.333333342681044e-08,0.0,True
Ag2Ba1Zr1Se3Te1_kesterite,7.812499980275334e-09,6.249999984220267e-08,8.881784197001252e-16,0.0,True
Ag2Ba1Zr1Se4_kesterite,4.218750015994033e-08,3.375000048322363e-07,0.0,0.0,True
Ag2Ba1Zr1Se4_stannite,1.3281249433561015e-08,1.062499990212018e-07,3.333333342681044e-08,0.0,True
Ag2Ba1Zr1Te4_kesterite,2.4999999848063226e-08,1.9999999523179213e-07,3.333333342681044e-08,0.0,True
Ag2Ba1Zr1Te4_stannite,3.96874999530894e-08,3.175000031774289e-07,3.333333342681044e-08,0.0,True
Ag2Ca0.5Ba0.5Ge1S4_kesterite,4.421875088311822e-08,3.5375000351223207e-07,3.333333298272123e-08,0.0,True
Ag2Ca0.5Ba0.5Ge1S4_stannite,2.109375030201477e-08,1.6874999886340447e-07,3.333333387089965e-08,0.0,True
Ag2Ca0.5Ba0.5Ge1Se4_kesterite,2.624999950739948e-08,2.100000031646232e-07,0.0,,False
Ag2Ca0.5Ba0.5Ge1Se4_stannite,5.375000089458126e-08,4.3000000005122274e-07,3.333333342681044e-08,0.0,True
Ag2Ca0.5Ba0.5Sn1S4_kesterite,4.25000004078413e-08,3.399999997100167e-07,3.333333298272123e-08,,False
Ag2Ca0.5Ba0.5Sn1S4_stannite,6.796874929548835e-08,5.437499979166205e-07,3.3333333204765836e-08,0.0,True
Ag2Ca0.5Ba0.5Sn1Se4_kesterite,2.2031249713450052e-08,1.7624999770760041e-07,0.0,0.0,True
Ag2Ca0.5Ba0.5Sn1Se4_stannite,5.546874959350134e-08,4.4374999674801074e-07,0.0,0.0,True
Ag2Ca0.5Ba0.5Sn1Te4_kesterite,3.9218750469416364e-08,3.1375000020261723e-07,3.333333253863202e-08,0.0,True
Ag2Ca0.5Ba0.5Sn1Te4_stannite,4.6406250397978965e-08,3.712500031838317e-07,8.881784197001252e-16,0.0,True
Ag2Ca0.5Ba0.5Zr1S4_kesterite,6.312500078209382e-08,5.050000027040369e-07,3.333333342681044e-08,0.0,True
Ag2Ca0.5Ba0.5Zr1S4_stannite,6.281249964601443e-08,5.025000007208291e-07,0.0,0.0,True
Ag2Ca0.5Ba0.5Zr1Se4_kesterite,4.7500000821543154e-08,3.8000000301963155e-07,3.333333253863202e-08,0.0,True
Ag2Ca0.5Ba0.5Zr1Se4_stannite,1.2187500342264457e-08,9.749999918540198e-08,3.333333431498886e-08,0.0,True
Ag2Ca0.5Ba0.5Zr1Te4_stannite,4.187499902386094e-08,3.349999957436012e-07,3.333333342681044e-08,0.0,True
Ag2Ca0.5Cd0.5Ge1S4_kesterite,4.828124966493874e-08,3.862500008722236e-07,3.333333342681044e-08,,False
Ag2Ca0.5Cd0.5Ge1S4_stannite,2.3593750508865696e-08,1.887500005182119e-07,0.0,0.0,True
Ag2Ca0.5Cd0.5Ge1Se4_kesterite,5.6406249449025836e-08,4.512499955922067e-07,4.440892098500626e-16,0.0,True
Ag2Ca0.5Cd0.5Ge1Se4_stannite,4.2656250087702574e-08,3.412500007016206e-07,8.881784197001252e-16,0.0,True
Ag2Ca0.5Cd0.5Ge1Te4_kesterite,1.9218750590965783e-08,1.5375000117501259e-07,3.333333342681044e-08,0.0,True
Ag2Ca0.5Cd0.5Ge1Te4_stannite,1.515625092096684e-08,1.2125000381502105e-07,0.0,0.0,True
Ag2Ca0.5Cd0.5Sn1S4_kesterite,2.031250723177891e-09,1.6250005785423127e-08,0.0,0.0,True
Ag2Ca0.5Cd0.5Sn1S4_stannite,2.343750082900442e-09,1.8750000663203537e-08,3.333333298272123e-08,0.0,True
Ag2Ca0.5Cd0.5Sn1Se4_kesterite,1.2968750073838464e-08,1.0374999703799404e-07,3.333333342681044e-08,0.0,True
Ag2Ca0.5Cd0.5Sn1Se4_stannite,5.1250000243641125e-08,4.100000055018427e-07,3.333333342681044e-08,0.0007999999999981355,True
Ag2Ca0.5Cd0.5Sn1Te4_stannite,7.296875015327942e-08,5.837500012262353e-07,3.333333431498886e-08,0.0,True
Ag2Ca0.5Cd0.5Zr1S4_kesterite,6.843749966733981e-08,5.475000008914321e-07,8.881784197001252e-16,0.0,True
Ag2Ca0.5Cd0.5Zr1S4_stannite,5.796874935626306e-08,4.6374999840281816e-07,3.333333253863202e-08,0.0,True
Ag2Ca0.5Cd0.5Zr1Se4_kesterite,2.343750526989652e-09,1.8750000663203537e-08,3.333333342681044e-08,0.0,True
Ag2Ca0.5Cd0.5Zr1Te4_kesterite,1.2656250270026703e-08,1.0125000216021363e-07,3.333333253863202e-08,0.0,True
Ag2Ca0.5Cd0.5Zr1Te4_stannite,1.4062493391975295e-09,1.1249994713580236e-08,0.0,0.0,True
Ag2Ca0.5Sr0.5Ge1S4_kesterite,5.5781250285491524e-08,4.462499987312185e-07,3.333333342681044e-08,0.0,True
Ag2Ca0.5Sr0.5Ge1S4_stannite,7.781250088712e-08,6.225000035442463e-07,4.440892098500626e-16,0.0,True
Ag2Ca0.5Sr0.5Ge1Se4_kesterite,2.5312499651874987e-08,2.024999972149999e-07,0.0,,False
Ag2Ca0.5Sr0.5Ge1Se4_stannite,4.8437500232978437e-08,3.875000018638275e-07,3.333333253863202e-08,0.0,True
Ag2Ca0.5Sr0.5Ge1Te4_stannite,6.296875021405413e-08,5.03750001712433e-07,3.333333342681044e-08,0.0,True
Ag2Ca0.5Sr0.5Sn0.5Ge0.5S2Te2_kesterite,5.31249995106009e-08,4.249999960848072e-07,8.881784197001252e-16,0.0,True
Ag2Ca0.5Sr0.5Sn1S4_kesterite,5.5781250285491524e-08,4.462499987312185e-07,3.333333342681044e-08,0.0,True
Ag2Ca0.5Sr0.5Sn1S4_stannite,6.703125032814228e-08,5.362499990724245e-07,0.0,0.0,True
Ag2Ca0.5Sr0.5Sn1Se4_kesterite,5.5781249841402314e-08,4.4624999162579115e-07,3.333333342681044e-08,0.0,True
Ag2Ca0.5Sr0.5Sn1Se4_stannite,6.078125025510417e-08,4.86249994935406e-07,4.440892098500626e-16,0.0,True
Ag2Ca0.5Sr0.5Sn1Te4_kesterite,4.375000006717755e-08,3.500000005374204e-07,3.333333342681044e-08,0.0,True
Ag2Ca0.5Sr0.5Sn1Te4_stannite,3.546874971505076e-08,2.837499977204061e-07,3.333333342681044e-08,0.0,True
Ag2Ca0.5Sr0.5Zr1S4_kesterite,2.9687492464347542e-09,2.3749997524191713e-08,0.0,0.0,True
Ag2Ca0.5Sr0.5Zr1S4_stannite,3.4375000179664994e-08,2.7499999788460627e-07,3.333333342681044e-08,,False
