AB,Defect,Type,Plot,Label,gap,VBM,Toten_pure,Toten_p2,Toten_p1,Toten_neut,Toten_m1,Toten_m2,Corr_p2,Corr_p1,Corr_neut,Corr_m1,Corr_m2,Corr_m3,Corr_m4,Corr_m5,mu_Cd_rich,mu_Te_rich,Defect
CdTe,N_Te+Cl_i,Impurity,Y,N$_{Te}$+Cl$_{i}$,1.5,1.826,-749.41,-759.3177,-757.46499,-755.56194,-752.70741,-750.02327,0.356841,0.11924989,0,0.13263241,0.33996086,0,0,0,9.967256,10.528926,N_Te+Cl_i
CdTe,N_Te+N_i,Impurity,Y,N$_{Te}$+N$_{i}$,1.5,1.826,-749.41,-769.30173,-766.22254,-763.14209,-759.71085,-755.80103,0.33633543,0.07855763,0,0.13941837,0.37096197,0,0,0,16.031546,17.154916,N_Te+N_i
CdTe,N_Te+O_Te,Impurity,Y,N$_{Te}$+O$_{Te}$,1.5,1.826,-749.41,-758.02752,-756.28638,-754.25074,-752.49357,-749.63474,0.35696515,0.12544862,0,0.13034511,0.35376032,0,0,0,9.403229,11.028169,N_Te+O_Te
CdTe,N_Te+O_i,Impurity,Y,N$_{Te}$+O$_{i}$,1.5,1.826,-749.41,-765.27899,-763.46338,-760.86519,-757.79582,-754.71803,0.35064766,0.13101855,0,0.12799834,0.36692406,0,0,0,15.042175,15.543745,N_Te+O_i
CdTe,N_i,Impurity,Y,N$_{i}$,1.5,1.826,-749.41,-759.57245,-757.07027,-755.22542,-752.11804,-748.99913,0.34922471,0.1174649,0,0.14008941,0.35856537,0,0,0,10.835246,10.835246,N_i
CdTe,N_i+N_i,Impurity,Y,N$_{i}$+N$_{i}$,1.5,1.826,-749.41,-772.46807,-770.59272,-768.42593,-765.29934,-762.16342,0.34396036,0.10907401,0,0.13508097,0.35924009,0,0,0,21.670492,21.670492,N_i+N_i
CdTe,N_i+Te_i,Impurity,Y,N$_{i}$+Te$_{i}$,1.5,1.826,-749.41,-765.10198,-762.8781,-759.69722,-756.5142,-753.60513,0.3284942,0.09713497,0,0.13940462,0.36513468,0,0,0,16.474192,15.350822,N_i+Te_i
CdTe,O_Te,Impurity,Y,O$_{Te}$,1.5,1.826,-749.41,-755.83748,-754.04378,-752.2461,-749.3285,-746.39788,0.31899954,0.11781397,0,0.13943353,0.35335537,0,0,0,4.206929,4.708499,O_Te
CdTe,O_i+As_Te+O_i,Impurity,Y,O$_{i}$+As$_{Te}$+O$_{i}$,1.5,1.826,-749.41,-771.05438,-769.22168,-768.08003,-764.96843,-762.08424,0.34800174,0.12237676,0,0.10892686,0.34162737,0,0,0,20.41175,20.07815,O_i+As_Te+O_i
CdTe,O_i+As_i+O_i,Impurity,Y,O$_{i}$+As$_{i}$+O$_{i}$,1.5,1.826,-749.41,-766.36627,-764.82393,-763.20736,-764.73607,-751.39353,0.32949281,0.09201328,0,0.11375974,0.35980757,0,0,0,26.050696,24.593726,O_i+As_i+O_i
CdTe,O_i+Bi_Te+O_i,Impurity,Y,O$_{i}$+Bi$_{Te}$+O$_{i}$,1.5,1.826,-749.41,-770.47457,-768.61841,-766.2668,-763.14214,-759.99582,0.35640089,0.10409927,0,0.11003064,0.36953503,0,0,0,19.849041,19.72881,O_i+Bi_Te+O_i
CdTe,O_i+Bi_i+O_i,Impurity,Y,O$_{i}$+Bi$_{i}$+O$_{i}$,1.5,1.826,-749.41,-766.98451,-765.92621,-757.40458,-762.66139,-748.42203,0.34418504,0.1408742,0,0.1098447,0.3654892,0,0,0,25.487987,24.244386,O_i+Bi_i+O_i
CdTe,O_i+N_Te+O_i,Impurity,Y,O$_{i}$+N$_{Te}$+O$_{i}$,1.5,1.826,-749.41,-772.82694,-771.00758,-770.30168,-766.99958,-764.41961,0.31450277,0.07619398,0,0.11323442,0.34157844,0,0,0,24.88805,24.76782,O_i+N_Te+O_i
CdTe,O_i+N_i+O_i,Impurity,Y,O$_{i}$+N$_{i}$+O$_{i}$,1.5,1.826,-749.41,-772.98172,-769.87598,-766.77052,-767.70338,-754.90924,0.35696892,0.08216356,0,0.10563721,0.33451145,0,0,0,30.526996,29.283396,O_i+N_i+O_i
CdTe,O_i+P_Te+O_i,Impurity,Y,O$_{i}$+P$_{Te}$+O$_{i}$,1.5,1.826,-749.41,-770.21481,-770.97373,-770.11935,-767.00094,-764.24115,0.32231421,0.13304672,0,0.1377987,0.33715778,0,0,0,21.162099,20.890189,O_i+P_Te+O_i
CdTe,O_i+P_i+O_i,Impurity,Y,O$_{i}$+P$_{i}$+O$_{i}$,1.5,1.826,-749.41,-766.53309,-765.09406,-759.1281,-765.42819,-752.13471,0.35160405,0.14208112,0,0.13042227,0.33554542,0,0,0,26.801045,25.405765,O_i+P_i+O_i
CdTe,O_i+Sb_Te+O_i,Impurity,Y,O$_{i}$+Sb$_{Te}$+O$_{i}$,1.5,1.826,-749.41,-770.40947,-769.24771,-767.01223,-763.87676,-761.03741,0.31337922,0.11431651,0,0.12033436,0.36050915,0,0,0,19.745275,19.625045,O_i+Sb_Te+O_i
CdTe,O_i+Sb_i+O_i,Impurity,Y,O$_{i}$+Sb$_{i}$+O$_{i}$,1.5,1.826,-749.41,-766.46997,-765.1943,-757.51109,-762.59315,-747.62668,0.34436321,0.08788269,0,0.13471119,0.34863414,0,0,0,25.384221,24.140621,O_i+Sb_i+O_i
CdTe,P_Te,Impurity,Y,P$_{Te}$,1.5,1.826,-749.41,-753.43548,-751.61134,-749.77499,-747.93593,-744.85506,0.34554063,0.12691412,0,0.12201339,0.36591735,0,0,0,1.470349,2.442039,P_Te
CdTe,P_Te+Cl_Te,Impurity,Y,P$_{Te}$+Cl$_{Te}$,1.5,1.826,-749.41,-753.00153,-751.20905,-749.41048,-746.36445,-743.31677,0.34229566,0.13949328,0,0.14007723,0.34092892,0,0,0,0.602359,2.135719,P_Te+Cl_Te
CdTe,P_Te+Cl_i,Impurity,Y,P$_{Te}$+Cl$_{i}$,1.5,1.826,-749.41,-757.5491,-755.71169,-753.86227,-750.17528,-747.99716,0.34897641,0.0847107,0,0.1218026,0.34847972,0,0,0,6.241305,6.651295,P_Te+Cl_i
CdTe,P_Te+O_Te,Impurity,Y,P$_{Te}$+O$_{Te}$,1.5,1.826,-749.41,-756.08459,-754.27494,-752.53265,-750.74414,-747.82895,0.33771129,0.07975131,0,0.12007204,0.33058336,0,0,0,5.677278,7.150538,P_Te+O_Te
CdTe,P_Te+O_i,Impurity,Y,P$_{Te}$+O$_{i}$,1.5,1.826,-749.41,-763.13063,-761.31935,-759.38377,-756.95188,-753.84972,0.34909962,0.14465122,0,0.13219539,0.34535491,0,0,0,11.316224,11.666114,P_Te+O_i
CdTe,P_Te+P_i,Impurity,Y,P$_{Te}$+P$_{i}$,1.5,1.826,-749.41,-759.8896,-757.93474,-755.07913,-752.38644,-749.25048,0.33520645,0.10593098,0,0.12885181,0.34980201,0,0,0,8.579644,9.399654,P_Te+P_i
CdTe,P_i,Impurity,Y,P$_{i}$,1.5,1.826,-749.41,-757.30781,-755.92225,-752.77754,-750.96567,-745.91455,0.3181039,0.07739823,0,0.10804167,0.35187528,0,0,0,7.109295,6.957615,P_i
CdTe,P_i+P_i,Impurity,Y,P$_{i}$+P$_{i}$,1.5,1.826,-749.41,-764.79825,-762.61001,-759.5193,-756.8873,-753.6878,0.33271004,0.09945952,0,0.13028884,0.33275662,0,0,0,14.21859,13.91523,P_i+P_i
CdTe,P_i+Te_i,Impurity,Y,P$_{i}$+Te$_{i}$,1.5,1.826,-749.41,-762.09152,-760.18318,-756.99219,-753.80561,-750.55496,0.35605412,0.07650239,0,0.11064166,0.3364693,0,0,0,12.748241,11.473191,P_i+Te_i
CdTe,Sb_Te,Impurity,Y,Sb$_{Te}$,1.5,1.826,-749.41,-752.38928,-750.51426,-748.61635,-746.68713,-743.57913,0.35351164,0.12388913,0,0.12710993,0.36753692,0,0,0,0.053525,1.176895,Sb_Te
CdTe,Sb_Te+Cl_Te,Impurity,Y,Sb$_{Te}$+Cl$_{Te}$,1.5,1.826,-749.41,-751.8453,-750.01476,-748.1586,-745.08054,-742.00503,0.34715733,0.10908059,0,0.13459157,0.33649298,0,0,0,-0.814465,0.870575,Sb_Te+Cl_Te
CdTe,Sb_Te+Cl_i,Impurity,Y,Sb$_{Te}$+Cl$_{i}$,1.5,1.826,-749.41,-756.43324,-754.56035,-752.66138,-749.09427,-746.70423,0.323913,0.14225835,0,0.13014235,0.35034724,0,0,0,4.824481,5.386151,Sb_Te+Cl_i
CdTe,Sb_Te+O_Te,Impurity,Y,Sb$_{Te}$+O$_{Te}$,1.5,1.826,-749.41,-755.15918,-753.35203,-751.5263,-749.6044,-746.65829,0.31901392,0.09983577,0,0.14135629,0.3465655,0,0,0,4.260454,5.885394,Sb_Te+O_Te
CdTe,Sb_Te+O_i,Impurity,Y,Sb$_{Te}$+O$_{i}$,1.5,1.826,-749.41,-761.9727,-760.12739,-757.46648,-754.77446,-751.65079,0.33830368,0.10777602,0,0.10600619,0.34576481,0,0,0,9.8994,10.40097,Sb_Te+O_i
CdTe,Sb_Te+Sb_i,Impurity,Y,Sb$_{Te}$+Sb$_{i}$,1.5,1.826,-749.41,-758.02856,-754.98462,-752.50354,-749.39536,-746.23312,0.32060291,0.13645339,0,0.11971435,0.37072808,0,0,0,5.745996,6.869366,Sb_Te+Sb_i
CdTe,Sb_i,Impurity,Y,Sb$_{i}$,1.5,1.826,-749.41,-756.72997,-753.58227,-751.57932,-749.15616,-744.61387,0.34590434,0.14438976,0,0.10365868,0.34683666,0,0,0,5.692471,5.692471,Sb_i
CdTe,Sb_i+Sb_i,Impurity,Y,Sb$_{i}$+Sb$_{i}$,1.5,1.826,-749.41,-762.49021,-759.70177,-756.3496,-753.60355,-750.54416,0.35038098,0.08938675,0,0.10782101,0.3403063,0,0,0,11.384942,11.384942,Sb_i+Sb_i
CdTe,Sb_i+Te_i,Impurity,Y,Sb$_{i}$+Te$_{i}$,1.5,1.826,-749.41,-761.00109,-759.08575,-755.86486,-752.64611,-749.12852,0.34334985,0.11471152,0,0.10801809,0.33518606,0,0,0,11.331417,10.208047,Sb_i+Te_i
CdTe,Te_Cd,Impurity,Y,Te$_{Cd}$,1.5,1.826,-749.41,-748.39262,-745.28448,-742.16745,-739.15107,-736.02375,0.35380653,0.11693292,0,0.09965704,0.3517088,0,0,0,4.338946,2.092206,Te_Cd
CdTe,Te_Cd+Cd_i,Impurity,Y,Te$_{Cd}$+Cd$_{i}$,1.5,1.826,-749.41,-749.08089,-745.95339,-742.83039,-739.84501,-736.79335,0.34556395,0.09709215,0,0.13472332,0.35926047,0,0,0,5.638946,4.515576,Te_Cd+Cd_i
CdTe,Te_i,Impurity,Y,Te$_{i}$,1.5,1.826,-749.41,-756.21874,-754.31416,-752.26115,-749.1075,-745.94963,0.32151532,0.13169275,0,0.1389232,0.35798724,0,0,0,5.638946,4.515576,Te_i
CdTe,V_Cd,Impurity,Y,V$_{Cd}$,1.5,1.826,-749.41,-748.54356,-746.70987,-744.85673,-742.98153,-741.09167,0.32919445,0.08762714,0,0.13518505,0.35741761,0,0,0,-1.3,-2.42337,V_Cd
CdTe,V_Cd+Te_Cd,Impurity,Y,V$_{Cd}$+Te$_{Cd}$,1.5,1.826,-749.41,-744.08018,-742.27583,-740.44032,-737.33376,-734.22802,0.3331312,0.12845806,0,0.13375796,0.33975199,0,0,0,3.038946,-0.331164,V_Cd+Te_Cd
CdTe,V_Te,Impurity,Y,V$_{Te}$,1.5,1.826,-749.41,-747.62281,-744.57177,-741.51781,-738.33083,-735.18242,0.3169,0,0,0.1533,0.4518,0,0,0,-5.638946,-4.515576,V_Te
