compound,structure,eform_ev_atom,edecomp_ev_fu,gap_prescreen_ev,theory
K0.5Rb0.5Cu0.5Ag0.5Zn1Zr1Te4,stannite,-0.4485,1.231,0.486,PBEsol
K0.5Rb0.5Cu1Ba0.5Cd0.5Ge1S3Te1,kesterite,-0.3001,,0.143,PBEsol
K0.5Rb0.5Cu1Ba0.5Cd0.5Ge1S3Te1,stannite,-0.5497,,0.03,PBEsol
K0.5Rb0.5Cu1Ba1Zr1S4,kesterite,-1.235,0.7784,1.651,PBEsol
K0.5Rb0.5Cu1Ba1Zr1S4,stannite,-1.2821,0.4015,1.621,PBEsol
K0.5Rb0.5Cu1Ba1Zr1Te4,stannite,-0.5468,3.0333,0.937,PBEsol
K0.5Rb0.5Cu1Ca1Zr1Se4,stannite,-1.0969,1.1653,1.496,PBEsol
K0.5Rb0.5Cu1Cd1Ge1S4,stannite,-0.5718,-0.5754,0.603,PBEsol
K0.5Rb0.5Cu1Cd1Sn1S4,kesterite,-0.479,0.443,0.372,PBEsol
K0.5Rb0.5Cu1Cd1Sn1S4,stannite,-0.5755,-0.3294,0.4,PBEsol
K0.5Rb0.5Cu1Cd1Sn1Te4,kesterite,-0.0974,,0.227,PBEsol
K0.5Rb0.5Cu1Cd1Sn1Te4,stannite,-0.3022,,0.129,PBEsol
K0.5Rb0.5Cu1Mg0.5Ca0.5Ge1S1Se2Te1,kesterite,-0.613,,0.072,PBEsol
K0.5Rb0.5Cu1Mg0.5Ca0.5Ge1S1Se2Te1,stannite,-0.6385,,0.565,PBEsol
K0.5Rb0.5Cu1Mg1Ge1S4,stannite,-0.7606,-0.3414,0.858,PBEsol
K0.5Rb0.5Cu1Mg1Ge1Se4,stannite,-0.6456,-0.1957,0.391,PBEsol
K0.5Rb0.5Cu1Mg1Sn1S4,stannite,-0.7698,-0.1389,0.575,PBEsol
K0.5Rb0.5Cu1Mg1Sn1Se4,stannite,-0.6529,0.1223,0.402,PBEsol
K0.5Rb0.5Cu1Mg1Sn1Te4,kesterite,-0.3141,,0.386,PBEsol
K0.5Rb0.5Cu1Mg1Sn1Te4,stannite,-0.2936,,0.54,PBEsol
K0.5Rb0.5Cu1Mg1Zr1S4,kesterite,-1.0242,1.2458,1.14,PBEsol
K0.5Rb0.5Cu1Mg1Zr1S4,stannite,-1.1048,0.6008,1.423,PBEsol
K0.5Rb0.5Cu1Mg1Zr1Se4,stannite,-0.9523,0.6826,1.192,PBEsol
K0.5Rb0.5Cu1Sr0.5Cd0.5Sn0.5Ge0.5S2Se2,stannite,-0.6948,-0.1148,0.536,PBEsol
K0.5Rb0.5Cu1Sr0.5Zn0.5Sn0.5Ge0.5Se3Te1,kesterite,-0.5153,,0.323,PBEsol
K0.5Rb0.5Cu1Sr0.5Zn0.5Sn0.5Ge0.5Se3Te1,stannite,-0.5537,,0.157,PBEsol
K0.5Rb0.5Cu1Sr1Ge1Te4,stannite,-0.509,,0.283,PBEsol
K0.5Rb0.5Cu1Zn1Ge1S4,stannite,-0.5859,-0.2939,0.543,PBEsol
K0.5Rb0.5Cu1Zn1Ge1Se4,stannite,-0.501,-0.1488,0.069,PBEsol
K0.5Rb0.5Cu1Zn1Ge1Te4,stannite,-0.175,,0.078,PBEsol
K0.5Rb0.5Cu1Zn1Sn1S4,stannite,-0.6105,-0.2144,0.332,PBEsol
K0.5Rb0.5Cu1Zn1Zr1S4,kesterite,-0.9221,0.7117,0.919,PBEsol
K0.5Rb0.5Cu1Zn1Zr1S4,stannite,-0.9502,0.4869,0.872,PBEsol
K0.5Rb0.5Ga0.5In0.5S1Se1,kesterite,-0.8699,-0.4917,1.935,PBEsol
K0.5Rb0.5Ga0.5In0.5S1Se1,stannite,-0.7294,0.0705,0.915,PBEsol
K0.5Rb0.5Ga0.5In0.5Se1Te1,kesterite,-0.6998,-0.3198,1.673,PBEsol
K0.5Rb0.5Ga0.5In0.5Se1Te1,stannite,-0.5411,0.3149,0.154,PBEsol
K0.5Rb0.5Ga0.5In0.5Se2,stannite,-0.7274,0.0556,0.713,PBEsol
K0.5Rb0.5Ga0.5In0.5Te2,stannite,-0.3942,0.4877,0.254,PBEsol
K0.5Rb0.5Ga1S1Se1,kesterite,-0.9205,-0.5669,2.369,PBEsol
K0.5Rb0.5Ga1S1Se1,stannite,-0.7583,0.0816,0.809,PBEsol
K0.5Rb0.5Ga1S2,kesterite,-0.9628,-0.6202,2.837,PBEsol
K0.5Rb0.5Ga1S2,stannite,-0.743,0.259,1.03,PBEsol
K0.5Rb0.5Ga1Se1Te1,kesterite,-0.6459,-0.0318,1.085,PBEsol
K0.5Rb0.5Ga1Se1Te1,stannite,-0.5226,0.4616,0.001,PBEsol
K0.5Rb0.5Ga1Se2,kesterite,-0.9165,-0.5961,1.797,PBEsol
K0.5Rb0.5Ga1Se2,stannite,-0.5918,0.7027,0.379,PBEsol
K0.5Rb0.5Ga1Te2,kesterite,-0.6209,-0.3786,1.364,PBEsol
K0.5Rb0.5Ga1Te2,stannite,-0.4824,0.1753,0.101,PBEsol
K0.5Rb0.5In1S2,kesterite,-0.8399,-0.3921,1.876,PBEsol
K0.5Rb0.5In1S2,stannite,-0.7724,-0.1217,1.406,PBEsol
K0.5Rb0.5In1Se2,kesterite,-0.8648,-0.5627,1.383,PBEsol
K0.5Rb0.5In1Se2,stannite,-0.6492,0.2994,0.483,PBEsol
K0.5Rb0.5In1Te2,kesterite,-0.6064,-0.3658,1.2,PBEsol
K0.5Rb0.5In1Te2,stannite,-0.231,1.1359,0.352,PBEsol
K0.5Rb1.5Ba0.5Zn0.5Ge1S1Se1Te2,kesterite,-0.7247,,1.226,PBEsol
K0.5Rb1.5Ba0.5Zn0.5Ge1S1Se1Te2,stannite,-0.6257,,0.297,PBEsol
K0.5Rb1.5Ba1Ge1S4,kesterite,-0.9868,0.3626,2.026,PBEsol
K0.5Rb1.5Ba1Ge1S4,stannite,-0.9746,0.4602,2.135,PBEsol
K0.5Rb1.5Ba1Ge1Se4,kesterite,-0.913,0.7904,1.605,PBEsol
K0.5Rb1.5Ba1Ge1Te4,stannite,-0.6684,,0.975,PBEsol
K0.5Rb1.5Ba1Sn1S4,kesterite,-0.9533,0.9064,2.272,PBEsol
K0.5Rb1.5Ba1Sn1S4,stannite,-0.9529,0.9094,2.293,PBEsol
K0.5Rb1.5Ba1Sn1Se4,stannite,-0.831,1.8226,1.788,PBEsol
K0.5Rb1.5Ba1Zr1S4,kesterite,-1.3619,1.0567,2.838,PBEsol
K0.5Rb1.5Ba1Zr1S4,stannite,-1.3572,1.095,3.015,PBEsol
K0.5Rb1.5Ba1Zr1Se4,kesterite,-1.3393,0.7123,2.496,PBEsol
K0.5Rb1.5Ba1Zr1Se4,stannite,-1.3151,0.9059,2.596,PBEsol
K0.5Rb1.5Ba1Zr1Te4,stannite,-0.9584,1.4149,2.133,PBEsol
K0.5Rb1.5Ca0.5Sr0.5Sn0.5Ge0.5S2Te2,kesterite,-0.9794,,1.203,PBEsol
K0.5Rb1.5Ca0.5Sr0.5Sn0.5Ge0.5S2Te2,stannite,-0.8096,,1.012,PBEsol
K0.5Rb1.5Ca1Ge1S4,stannite,-1.0237,0.2719,2.004,PBEsol
K0.5Rb1.5Ca1Ge1Se4,stannite,-0.836,1.4237,1.563,PBEsol
K0.5Rb1.5Ca1Ge1Te4,stannite,-0.6318,,0.686,PBEsol
K0.5Rb1.5Ca1Sn1S4,stannite,-1.0651,0.2161,1.84,PBEsol
K0.5Rb1.5Ca1Sn1Se4,kesterite,-0.9091,1.2156,2.082,PBEsol
K0.5Rb1.5Ca1Sn1Se4,stannite,-0.8666,1.5555,1.545,PBEsol
K0.5Rb1.5Ca1Sn1Te4,stannite,-0.6919,,0.99,PBEsol
K0.5Rb1.5Ca1Zr1S4,kesterite,-1.4092,0.8826,3.065,PBEsol
K0.5Rb1.5Ca1Zr1S4,stannite,-1.3701,1.1957,2.805,PBEsol
K0.5Rb1.5Ca1Zr1Se4,kesterite,-1.2565,1.3928,2.663,PBEsol
K0.5Rb1.5Ca1Zr1Se4,stannite,-1.2235,1.6567,2.369,PBEsol
K0.5Rb1.5Ca1Zr1Te4,kesterite,-0.7275,3.0448,2.027,PBEsol
K0.5Rb1.5Ca1Zr1Te4,stannite,-0.7078,3.2025,1.786,PBEsol
K0.5Rb1.5Cd1Ge1S4,stannite,-0.6233,0.3066,1.421,PBEsol
K0.5Rb1.5Cd1Ge1Se4,kesterite,-0.7555,-0.9009,1.755,PBEsol
K0.5Rb1.5Cd1Ge1Te4,kesterite,-0.5164,,1.077,PBEsol
K0.5Rb1.5Cd1Sn1S4,stannite,-0.5628,1.0666,1.542,PBEsol
K0.5Rb1.5Cd1Sn1Se4,stannite,-0.4326,2.0585,1.028,PBEsol
K0.5Rb1.5Cd1Sn1Te4,kesterite,-0.492,,1.552,PBEsol
K0.5Rb1.5Cd1Zr1S4,kesterite,-1.1374,-0.1113,2.378,PBEsol
K0.5Rb1.5Cd1Zr1S4,stannite,-0.9475,1.4079,1.581,PBEsol
K0.5Rb1.5Cd1Zr1Se4,stannite,-0.775,2.2752,1.212,PBEsol
K0.5Rb1.5Cd1Zr1Te4,kesterite,-0.7077,0.6529,1.087,PBEsol
K0.5Rb1.5Cd1Zr1Te4,stannite,-0.6062,1.4645,0.702,PBEsol
K0.5Rb1.5Mg0.5Sr0.5Sn0.5Ge0.5S1Se1Te2,stannite,-0.5496,,0.083,PBEsol
K0.5Rb1.5Mg1Ge1S4,stannite,-0.8285,0.4098,1.758,PBEsol
K0.5Rb1.5Mg1Ge1Se4,kesterite,-0.7917,0.1388,2.155,PBEsol
K0.5Rb1.5Mg1Ge1Se4,stannite,-0.695,0.913,1.127,PBEsol
K0.5Rb1.5Mg1Ge1Te4,kesterite,-0.353,,1.272,PBEsol
K0.5Rb1.5Mg1Sn1S4,stannite,-0.9116,0.021,1.536,PBEsol
K0.5Rb1.5Mg1Sn1Se4,kesterite,-0.8024,0.4299,2.002,PBEsol
K0.5Rb1.5Mg1Sn1Se4,stannite,-0.734,0.9773,1.17,PBEsol
K0.5Rb1.5Mg1Sn1Te4,stannite,-0.5482,,0.564,PBEsol
K0.5Rb1.5Mg1Zr1S4,kesterite,-1.2908,0.4063,2.837,PBEsol
K0.5Rb1.5Mg1Zr1S4,stannite,-1.2136,1.0238,2.053,PBEsol
K0.5Rb1.5Mg1Zr1Se4,kesterite,-1.1379,0.7023,2.35,PBEsol
K0.5Rb1.5Mg1Zr1Se4,stannite,-1.0703,1.2426,1.682,PBEsol
K0.5Rb1.5Mg1Zr1Te4,kesterite,-0.6402,2.0865,1.612,PBEsol
K0.5Rb1.5Mg1Zr1Te4,stannite,-0.7588,1.1374,1.064,PBEsol
K0.5Rb1.5Sr0.5Zn0.5Sn0.5Ge0.5S2Se2,kesterite,-0.9313,-0.4544,2.069,PBEsol
K0.5Rb1.5Sr1Ge1S4,stannite,-1.0549,0.0101,1.893,PBEsol
K0.5Rb1.5Sr1Ge1Se1Te3,stannite,-0.3828,,0.22,PBEsol
K0.5Rb1.5Sr1Ge1Se4,kesterite,-0.8711,1.2192,1.827,PBEsol
K0.5Rb1.5Sr1Ge1Se4,stannite,-0.9617,0.4937,1.366,PBEsol
K0.5Rb1.5Sr1Sn1S2Te2,kesterite,-0.914,,1.813,PBEsol
K0.5Rb1.5Sr1Sn1S4,kesterite,-0.9866,0.8326,2.537,PBEsol
K0.5Rb1.5Sr1Sn1S4,stannite,-0.9632,1.0202,2.182,PBEsol
K0.5Rb1.5Sr1Sn1Se4,stannite,-0.8557,1.7187,1.693,PBEsol
K0.5Rb1.5Sr1Zr1S4,kesterite,-1.3889,1.0336,3.072,PBEsol
K0.5Rb1.5Sr1Zr1S4,stannite,-1.3672,1.2074,3.003,PBEsol
K0.5Rb1.5Sr1Zr1Se4,stannite,-1.2269,1.7052,2.579,PBEsol
K0.5Rb1.5Sr1Zr1Te4,stannite,-0.9424,1.5101,1.953,PBEsol
K0.5Rb1.5Zn1Ge1S4,stannite,-0.6415,0.5554,1.338,PBEsol
K0.5Rb1.5Zn1Ge1Te4,kesterite,-0.4894,,0.758,PBEsol
K0.5Rb1.5Zn1Ge1Te4,stannite,-0.3642,,0.242,PBEsol
K0.5Rb1.5Zn1Sn1S4,kesterite,-0.8669,-0.9718,2.182,PBEsol
K0.5Rb1.5Zn1Sn1Se4,kesterite,-0.6524,0.5209,1.872,PBEsol
K0.5Rb1.5Zn1Sn1Te4,stannite,-0.4288,,0.145,PBEsol
K0.5Rb1.5Zn1Zr1S4,stannite,-1.0242,1.1887,1.496,PBEsol
K0.5Rb1.5Zn1Zr1Se4,stannite,-0.8629,1.793,1.117,PBEsol
K0.5Rb1.5Zn1Zr1Te4,kesterite,-0.6829,0.9017,1.224,PBEsol
K0.5Rb1.5Zn1Zr1Te4,stannite,-0.4118,3.0709,0.599,PBEsol
K0.5Rb1Ag0.5Ba1Zr1Se4,stannite,-1.2145,0.9708,2.041,PBEsol
K0.5Rb1Ag0.5Ca1Sn1Se4,stannite,-0.8661,0.8197,1.055,PBEsol
K0.5Rb1Ag0.5Ca1Zr1Se4,stannite,-1.1831,1.2396,2.045,PBEsol
K0.5Rb1Ag0.5Ca1Zr1Te4,kesterite,-0.8375,1.4592,1.466,PBEsol
K0.5Rb1Ag0.5Ca1Zr1Te4,stannite,-0.7984,1.7714,1.604,PBEsol
K0.5Rb1Ag0.5Cd1Ge1S4,kesterite,-0.6719,-0.825,1.724,PBEsol
K0.5Rb1Ag0.5Cd1Ge1S4,stannite,-0.5781,-0.0744,1.025,PBEsol
K0.5Rb1Ag0.5Cd1Ge1Se4,stannite,-0.5131,0.2983,0.379,PBEsol
K0.5Rb1Ag0.5Cd1Sn1Te4,kesterite,-0.3973,,0.875,PBEsol
K0.5Rb1Ag0.5Cd1Sn1Te4,stannite,-0.3265,,0.131,PBEsol
K0.5Rb1Ag0.5Cd1Zr1S4,kesterite,-0.994,0.2936,1.602,PBEsol
K0.5Rb1Ag0.5Cd1Zr1S4,stannite,-0.9518,0.6315,1.472,PBEsol
K0.5Rb1Ag0.5Cd1Zr1Se4,kesterite,-0.8769,0.7199,1.159,PBEsol
K0.5Rb1Ag0.5Cd1Zr1Se4,stannite,-0.8179,1.1922,1.038,PBEsol
K0.5Rb1Ag0.5Cd1Zr1Te4,stannite,-0.5171,1.4721,0.576,PBEsol
K0.5Rb1Ag0.5Mg0.5Ba0.5Sn1S1Se3,kesterite,-0.9009,-0.2833,1.472,PBEsol
K0.5Rb1Ag0.5Mg0.5Ba0.5Sn1S1Se3,stannite,-0.762,0.8279,0.693,PBEsol
K0.5Rb1Ag0.5Mg1Ge1S2Te2,kesterite,-0.6224,,1.226,PBEsol
K0.5Rb1Ag0.5Mg1Ge1S4,kesterite,-0.8669,-0.6398,2.296,PBEsol
K0.5Rb1Ag0.5Mg1Ge1Se4,stannite,-0.6066,0.8799,0.799,PBEsol
K0.5Rb1Ag0.5Mg1Sn1S4,kesterite,-0.7852,0.2898,1.954,PBEsol
K0.5Rb1Ag0.5Mg1Sn1S4,stannite,-0.7805,0.3273,1.267,PBEsol
K0.5Rb1Ag0.5Mg1Sn1Se4,stannite,-0.7118,0.4147,0.667,PBEsol
K0.5Rb1Ag0.5Mg1Sn1Te4,stannite,-0.4278,,0.388,PBEsol
K0.5Rb1Ag0.5Mg1Zr1S4,stannite,-1.0995,1.1944,1.955,PBEsol
K0.5Rb1Ag0.5Mg1Zr1Se4,stannite,-0.9456,1.5002,1.586,PBEsol
K0.5Rb1Ag0.5Mg1Zr1Te4,stannite,-0.4641,2.7898,1.089,PBEsol
K0.5Rb1Ag0.5Sr0.5Ba0.5Sn1Se1Te3,stannite,-0.7488,,0.365,PBEsol
K0.5Rb1Ag0.5Sr1Sn1Se4,stannite,-0.8657,0.8985,1.187,PBEsol
K0.5Rb1Ag0.5Sr1Zr1S4,kesterite,-1.3486,0.6142,2.187,PBEsol
K0.5Rb1Ag0.5Sr1Zr1Se4,stannite,-1.2002,1.1785,2.097,PBEsol
K0.5Rb1Ag0.5Zn1Ge1S4,kesterite,-0.7042,-0.6882,2.015,PBEsol
K0.5Rb1Ag0.5Zn1Sn1S4,kesterite,-0.6992,-0.3722,1.699,PBEsol
K0.5Rb1Ag0.5Zn1Sn1S4,stannite,-0.6114,0.3298,0.953,PBEsol
K0.5Rb1Ag0.5Zn1Sn1Se4,stannite,-0.4564,1.3491,0.404,PBEsol
K0.5Rb1Ag0.5Zn1Sn1Te4,kesterite,-0.4406,,1.033,PBEsol
K0.5Rb1Ag0.5Zn1Sn1Te4,stannite,-0.2438,,0.404,PBEsol
K0.5Rb1Ag0.5Zn1Zr1S4,stannite,-0.9665,0.9084,1.442,PBEsol
K0.5Rb1Ag0.5Zn1Zr1Se4,stannite,-0.847,1.1796,1.015,PBEsol
K0.5Rb1Cs0.5Ba1Ge1S4,kesterite,-0.9739,0.4797,1.874,PBEsol
K0.5Rb1Cs0.5Ba1Ge1S4,stannite,-1.0571,-0.1858,1.889,PBEsol
K0.5Rb1Cs0.5Ba1Ge1Te4,stannite,-0.6737,,1.014,PBEsol
K0.5Rb1Cs0.5Ba1Sn1S4,stannite,-0.9371,1.0494,2.239,PBEsol
K0.5Rb1Cs0.5Ba1Sn1Se4,stannite,-0.8275,1.8772,1.709,PBEsol
K0.5Rb1Cs0.5Ba1Zr1S4,kesterite,-1.3568,1.1116,2.708,PBEsol
K0.5Rb1Cs0.5Ba1Zr1S4,stannite,-1.3526,1.1448,2.981,PBEsol
K0.5Rb1Cs0.5Ba1Zr1Se4,kesterite,-1.3578,0.5911,2.469,PBEsol
K0.5Rb1Cs0.5Ba1Zr1Se4,stannite,-1.2148,1.7347,2.651,PBEsol
K0.5Rb1Cs0.5Ba1Zr1Te4,stannite,-0.9674,1.371,2.065,PBEsol
K0.5Rb1Cs0.5Ca1Ge1S4,stannite,-0.9776,0.6539,2.013,PBEsol
K0.5Rb1Cs0.5Ca1Sn1S4,stannite,-0.9638,1.0408,1.945,PBEsol
K0.5Rb1Cs0.5Ca1Sn1Se4,stannite,-0.858,1.6516,1.481,PBEsol
K0.5Rb1Cs0.5Ca1Zr1S4,stannite,-1.3647,1.2527,2.692,PBEsol
K0.5Rb1Cs0.5Ca1Zr1Se4,kesterite,-1.3568,0.6168,2.54,PBEsol
K0.5Rb1Cs0.5Ca1Zr1Se4,stannite,-1.217,1.7354,2.264,PBEsol
K0.5Rb1Cs0.5Ca1Zr1Te4,kesterite,-0.9501,1.2923,2.001,PBEsol
K0.5Rb1Cs0.5Ca1Zr1Te4,stannite,-0.6998,3.2945,1.698,PBEsol
K0.5Rb1Cs0.5Cd1Ge1S4,stannite,-0.6126,0.4055,1.397,PBEsol
K0.5Rb1Cs0.5Cd1Ge1Se4,stannite,-0.4805,1.3261,0.847,PBEsol
K0.5Rb1Cs0.5Cd1Sn1S4,stannite,-0.543,1.2387,1.401,PBEsol
K0.5Rb1Cs0.5Cd1Sn1Se4,stannite,-0.4171,2.2092,0.903,PBEsol
K0.5Rb1Cs0.5Cd1Sn1Te4,stannite,-0.1445,,0.639,PBEsol
K0.5Rb1Cs0.5Cd1Zr1S4,stannite,-0.9303,1.5592,1.449,PBEsol
K0.5Rb1Cs0.5Cd1Zr1Se4,stannite,-0.7544,2.4669,1.084,PBEsol
K0.5Rb1Cs0.5Cd1Zr1Te4,stannite,-0.6108,1.4563,0.695,PBEsol
K0.5Rb1Cs0.5Mg1Ge1S4,kesterite,-1.0258,-1.155,2.922,PBEsol
K0.5Rb1Cs0.5Mg1Ge1S4,stannite,-0.8644,0.1364,1.588,PBEsol
K0.5Rb1Cs0.5Mg1Ge1Se4,stannite,-0.7908,0.1733,0.736,PBEsol
K0.5Rb1Cs0.5Mg1Ge1Te4,stannite,-0.4897,,0.264,PBEsol
K0.5Rb1Cs0.5Mg1Sn1Se4,stannite,-0.7031,1.2515,1.008,PBEsol
K0.5Rb1Cs0.5Mg1Zr1S4,stannite,-1.2077,1.0847,1.968,PBEsol
K0.5Rb1Cs0.5Mg1Zr1Se4,kesterite,-1.1374,0.7333,2.237,PBEsol
K0.5Rb1Cs0.5Mg1Zr1Se4,stannite,-1.0664,1.3009,1.596,PBEsol
K0.5Rb1Cs0.5Mg1Zr1Te4,stannite,-0.5859,2.5491,1.112,PBEsol
K0.5Rb1Cs0.5Sr0.5Cd0.5Sn1S4,kesterite,-0.9711,-0.6262,2.271,PBEsol
K0.5Rb1Cs0.5Sr0.5Cd0.5Sn1S4,stannite,-0.837,0.4467,1.271,PBEsol
K0.5Rb1Cs0.5Sr1Ge1S4,stannite,-0.9763,0.6532,2.076,PBEsol
K0.5Rb1Cs0.5Sr1Sn1S4,stannite,-0.9528,1.1171,2.085,PBEsol
K0.5Rb1Cs0.5Sr1Sn1Se4,stannite,-0.8336,1.9221,1.542,PBEsol
K0.5Rb1Cs0.5Sr1Sn1Te4,stannite,-0.6215,,1.04,PBEsol
K0.5Rb1Cs0.5Sr1Zr1S4,stannite,-1.3632,1.2528,2.896,PBEsol
K0.5Rb1Cs0.5Sr1Zr1Se4,stannite,-1.2213,1.7765,2.488,PBEsol
K0.5Rb1Cs0.5Zn1Ge1Se4,stannite,-0.5112,1.3012,0.702,PBEsol
K0.5Rb1Cs0.5Zn1Sn1S4,kesterite,-0.8672,-0.961,2.143,PBEsol
K0.5Rb1Cs0.5Zn1Sn1Se4,kesterite,-0.8292,-0.8664,1.359,PBEsol
K0.5Rb1Cs0.5Zn1Sn1Te4,kesterite,-0.3298,,1.507,PBEsol
K0.5Rb1Cs0.5Zn1Zr1S4,stannite,-1.004,1.3646,1.356,PBEsol
K0.5Rb1Cs0.5Zn1Zr1Se4,stannite,-0.8538,1.8924,1.021,PBEsol
K0.5Rb1Cu0.5Ba1Ge1Se4,stannite,-0.9083,0.0694,1.453,PBEsol
K0.5Rb1Cu0.5Ca0.5Zn0.5Ge1S2Se1Te1,stannite,-0.681,,0.778,PBEsol
K0.5Rb1Cu0.5Ca0.5Zn0.5Sn0.5Ge0.5Se2Te2,stannite,-0.4963,,0.204,PBEsol
K0.5Rb1Cu0.5Ca1Ge1Te4,stannite,-0.4784,,0.62,PBEsol
K0.5Rb1Cu0.5Ca1Zr1Te4,stannite,-0.7827,1.7595,1.444,PBEsol
K0.5Rb1Cu0.5Cd1Ge1Te4,stannite,-0.2371,,0.382,PBEsol
K0.5Rb1Cu0.5Cd1Sn1Te4,stannite,-0.2962,,0.084,PBEsol
K0.5Rb1Cu0.5Cd1Zr1Te4,stannite,-0.4997,1.4732,0.481,PBEsol
K0.5Rb1Cu0.5Mg1Ge1S1Te3,kesterite,-0.54,,0.545,PBEsol
K0.5Rb1Cu0.5Mg1Ge1S1Te3,stannite,-0.4175,,0.209,PBEsol
K0.5Rb1Cu0.5Mg1Ge1Se4,stannite,-0.6373,0.6163,0.482,PBEsol
K0.5Rb1Cu0.5Mg1Ge1Te4,stannite,-0.2731,,0.187,PBEsol
K0.5Rb1Cu0.5Zn1Sn1Se4,stannite,-0.5176,0.8408,0.116,PBEsol
K0.5Rb1Cu0.5Zn1Zr1Se4,stannite,-0.8174,1.3989,0.822,PBEsol
K1.5Ag0.5Ba1Ge1Se4,kesterite,-0.814,0.9172,1.692,PBEsol
K1.5Ag0.5Ba1Sn1Se4,kesterite,-0.7701,1.6452,1.725,PBEsol
K1.5Ag0.5Ba1Zr1S4,kesterite,-1.3492,0.5103,2.408,PBEsol
K1.5Ag0.5Ca1Zr1S4,kesterite,-1.301,1.0999,2.361,PBEsol
K1.5Ag0.5Ca1Zr1S4,stannite,-1.332,0.8517,2.595,PBEsol
K1.5Ag0.5Ca1Zr1Se4,kesterite,-1.2229,0.9971,1.921,PBEsol
K1.5Ag0.5Ca1Zr1Se4,stannite,-1.2015,1.1683,2.176,PBEsol
K1.5Ag0.5Ca1Zr1Te4,stannite,-0.8103,1.7263,1.665,PBEsol
K1.5Ag0.5Cd1Ge1S4,stannite,-0.6116,-0.2488,1.151,PBEsol
K1.5Ag0.5Cd1Sn1S4,stannite,-0.6221,-0.0568,1.141,PBEsol
K1.5Ag0.5Cd1Sn1Te4,stannite,-0.3484,,0.238,PBEsol
K1.5Ag0.5Cd1Zr1S4,stannite,-0.9786,0.5107,1.5,PBEsol
K1.5Ag0.5Cd1Zr1Se4,stannite,-0.7522,1.7936,1.142,PBEsol
K1.5Ag0.5Cd1Zr1Te4,stannite,-0.521,1.4905,0.64,PBEsol
K1.5Ag0.5Mg1Ge1S4,kesterite,-0.8527,-0.4322,2.394,PBEsol
K1.5Ag0.5Mg1Ge1S4,stannite,-0.7932,0.0437,1.413,PBEsol
K1.5Ag0.5Mg1Ge1Se4,kesterite,-0.7334,-0.059,1.711,PBEsol
K1.5Ag0.5Mg1Ge1Se4,stannite,-0.6496,0.6115,0.946,PBEsol
K1.5Ag0.5Mg1Ge1Te4,stannite,-0.3901,,0.299,PBEsol
K1.5Ag0.5Mg1Sn1S4,kesterite,-0.8146,0.1481,2.014,PBEsol
K1.5Ag0.5Mg1Sn1S4,stannite,-0.813,0.1609,1.337,PBEsol
K1.5Ag0.5Mg1Sn1Se4,stannite,-0.7397,0.2666,0.739,PBEsol
K1.5Ag0.5Mg1Sn1Te4,kesterite,-0.2915,,1.371,PBEsol
K1.5Ag0.5Mg1Sn1Te4,stannite,-0.4513,,0.482,PBEsol
K1.5Ag0.5Mg1Zr1S4,kesterite,-1.2148,0.3658,2.084,PBEsol
K1.5Ag0.5Mg1Zr1S4,stannite,-1.1752,0.6828,2.135,PBEsol
K1.5Ag0.5Mg1Zr1Se4,kesterite,-1.0064,1.0894,1.695,PBEsol
K1.5Ag0.5Mg1Zr1Se4,stannite,-0.9794,1.3051,1.688,PBEsol
K1.5Ag0.5Mg1Zr1Te4,kesterite,-0.5097,2.4746,1.188,PBEsol
K1.5Ag0.5Mg1Zr1Te4,stannite,-0.4954,2.5892,1.184,PBEsol
K1.5Ag0.5Sr1Ge1Se4,stannite,-0.8616,0.6304,1.337,PBEsol
K1.5Ag0.5Sr1Sn1Se4,kesterite,-0.7975,1.5197,1.758,PBEsol
K1.5Ag0.5Sr1Zr1S4,kesterite,-1.3569,0.6409,2.296,PBEsol
K1.5Ag0.5Sr1Zr1Te4,stannite,-0.8363,1.7028,1.77,PBEsol
K1.5Ag0.5Zn1Ge1S4,kesterite,-0.7284,-0.7884,2.006,PBEsol
K1.5Ag0.5Zn1Ge1S4,stannite,-0.6251,0.0383,1.061,PBEsol
K1.5Ag0.5Zn1Ge1Se4,stannite,-0.4858,0.8121,0.545,PBEsol
K1.5Ag0.5Zn1Sn1S4,kesterite,-0.7142,-0.399,1.724,PBEsol
K1.5Ag0.5Zn1Sn1S4,stannite,-0.6444,0.1593,1.017,PBEsol
K1.5Ag0.5Zn1Sn1Te4,kesterite,-0.2267,,1.234,PBEsol
K1.5Ag0.5Zn1Zr1S4,kesterite,-1.0065,0.6825,1.705,PBEsol
K1.5Ag0.5Zn1Zr1S4,stannite,-0.9965,0.7623,1.463,PBEsol
K1.5Ag0.5Zn1Zr1Se4,stannite,-0.8719,1.0559,1.034,PBEsol
K1.5Cs0.5Ba1Ge1S4,kesterite,-0.9957,0.3985,1.944,PBEsol
K1.5Cs0.5Ba1Sn1S4,kesterite,-1.0982,-0.1457,2.209,PBEsol
K1.5Cs0.5Ba1Sn1S4,stannite,-0.9625,0.9403,2.308,PBEsol
K1.5Cs0.5Ba1Sn1Se4,kesterite,-0.8415,1.8412,1.669,PBEsol
K1.5Cs0.5Ba1Sn1Se4,stannite,-0.851,1.765,1.669,PBEsol
K1.5Cs0.5Ba1Zr1S4,kesterite,-1.3699,1.1002,2.749,PBEsol
