compound,structure,eform_ev_atom,edecomp_ev_fu,gap_prescreen_ev,theory
Ag2Ba1Sn0.5Ge0.5S4,stannite,-0.7254,-0.3721,1.22,PBEsol
Ag2Ba1Sn0.5Ge0.5Se4,kesterite,-0.5629,0.8331,0.412,PBEsol
Ag2Ba1Sn0.5Ge0.5Se4,stannite,-0.6296,0.2995,0.733,PBEsol
Ag2Ba1Sn0.5Zr0.5S4,kesterite,-0.7832,1.0131,1.2,PBEsol
Ag2Ba1Sn0.5Zr0.5S4,stannite,-0.8098,0.8,1.198,PBEsol
Ag2Ba1Sn0.5Zr0.5Se4,kesterite,-0.631,1.9548,0.865,PBEsol
Ag2Ba1Sn0.5Zr0.5Se4,stannite,-0.649,1.8112,0.811,PBEsol
Ag2Ba1Sn0.5Zr0.5Te4,stannite,-0.2248,,0.638,PBEsol
Ag2Ba1Sn1S1Se1Te2,stannite,-0.5397,,0.624,PBEsol
Ag2Ba1Sn1S1Se3,stannite,-0.6897,-0.0068,0.706,PBEsol
Ag2Ba1Sn1S1Te3,kesterite,-0.424,,0.111,PBEsol
Ag2Ba1Sn1S1Te3,stannite,-0.4846,,0.602,PBEsol
Ag2Ba1Sn1S2Se1Te1,kesterite,-0.548,,0.184,PBEsol
Ag2Ba1Sn1S2Se1Te1,stannite,-0.65,,0.8,PBEsol
Ag2Ba1Sn1S2Se2,kesterite,-0.6106,0.6263,0.679,PBEsol
Ag2Ba1Sn1S2Se2,stannite,-0.7095,-0.1649,0.862,PBEsol
Ag2Ba1Sn1S2Te2,kesterite,-0.4716,,0.4,PBEsol
Ag2Ba1Sn1S2Te2,stannite,-0.5995,,0.841,PBEsol
Ag2Ba1Sn1S3Se1,stannite,-0.7207,-0.2333,0.877,PBEsol
Ag2Ba1Sn1S3Te1,kesterite,-0.5652,,0.13,PBEsol
Ag2Ba1Sn1S3Te1,stannite,-0.666,,0.825,PBEsol
Ag2Ba1Sn1S4,kesterite,-0.6409,0.4595,0.931,PBEsol
Ag2Ba1Sn1S4,stannite,-0.7658,-0.5393,0.126,PBEsol
Ag2Ba1Sn1Se1Te3,kesterite,-0.4088,,0.121,PBEsol
Ag2Ba1Sn1Se2Te2,kesterite,-0.4584,,0.287,PBEsol
Ag2Ba1Sn1Se2Te2,stannite,-0.583,,0.683,PBEsol
Ag2Ba1Sn1Se3Te1,kesterite,-0.5297,,0.177,PBEsol
Ag2Ba1Sn1Se3Te1,stannite,-0.6326,,0.541,PBEsol
Ag2Ba1Sn1Se4,kesterite,-0.5661,1.0139,0.072,PBEsol
Ag2Ba1Sn1Se4,stannite,-0.6833,0.0767,0.565,PBEsol
Ag2Ba1Sn1Te4,kesterite,-0.3674,,0.288,PBEsol
Ag2Ba1Sn1Te4,stannite,-0.4798,,0.312,PBEsol
Ag2Ba1Zr1S1Se1Te2,kesterite,-0.7387,1.538,0.555,PBEsol
Ag2Ba1Zr1S1Se1Te2,stannite,-0.7747,1.2504,1.153,PBEsol
Ag2Ba1Zr1S1Se2Te1,kesterite,-0.8264,1.3853,0.702,PBEsol
Ag2Ba1Zr1S1Se3,kesterite,-0.8522,1.7644,1.169,PBEsol
Ag2Ba1Zr1S1Se3,stannite,-0.9978,0.5998,0.482,PBEsol
Ag2Ba1Zr1S1Te3,stannite,-0.698,1.3518,1.062,PBEsol
Ag2Ba1Zr1S2Se1Te1,kesterite,-0.8481,1.3392,0.808,PBEsol
Ag2Ba1Zr1S2Se1Te1,stannite,-0.9216,0.7505,1.157,PBEsol
Ag2Ba1Zr1S2Se2,kesterite,-0.9381,1.1942,1.421,PBEsol
Ag2Ba1Zr1S2Se2,stannite,-1.0068,0.645,1.336,PBEsol
Ag2Ba1Zr1S2Te2,kesterite,-0.7376,1.7009,0.977,PBEsol
Ag2Ba1Zr1S2Te2,stannite,-0.7286,1.7727,0.864,PBEsol
Ag2Ba1Zr1S3Se1,kesterite,-0.9684,1.0892,1.364,PBEsol
Ag2Ba1Zr1S3Te1,kesterite,-0.8781,1.2625,0.709,PBEsol
Ag2Ba1Zr1S4,kesterite,-0.9664,1.2754,1.432,PBEsol
Ag2Ba1Zr1S4,stannite,-0.986,1.118,1.444,PBEsol
Ag2Ba1Zr1Se2Te2,kesterite,-0.7035,1.7199,0.963,PBEsol
Ag2Ba1Zr1Se2Te2,stannite,-0.7624,1.2483,1.167,PBEsol
Ag2Ba1Zr1Se3Te1,kesterite,-0.7923,1.5682,0.838,PBEsol
Ag2Ba1Zr1Se4,kesterite,-0.7824,2.2392,1.11,PBEsol
Ag2Ba1Zr1Se4,stannite,-0.8028,2.0761,1.187,PBEsol
Ag2Ba1Zr1Te4,kesterite,-0.5192,2.1499,0.668,PBEsol
Ag2Ba1Zr1Te4,stannite,-0.6139,1.3927,0.162,PBEsol
Ag2Ca0.5Ba0.5Ge1S4,kesterite,-0.6385,0.2874,1.203,PBEsol
Ag2Ca0.5Ba0.5Ge1S4,stannite,-0.6909,-0.1322,1.371,PBEsol
Ag2Ca0.5Ba0.5Ge1Se4,kesterite,-0.5478,0.7751,0.688,PBEsol
Ag2Ca0.5Ba0.5Ge1Se4,stannite,-0.5884,0.45,0.817,PBEsol
Ag2Ca0.5Ba0.5Sn1S4,kesterite,-0.628,0.647,1.105,PBEsol
Ag2Ca0.5Ba0.5Sn1S4,stannite,-0.6499,0.4717,1.09,PBEsol
Ag2Ca0.5Ba0.5Sn1Se4,kesterite,-0.5469,1.1584,0.674,PBEsol
Ag2Ca0.5Ba0.5Sn1Se4,stannite,-0.567,0.9978,0.658,PBEsol
Ag2Ca0.5Ba0.5Sn1Te4,kesterite,-0.3636,,0.381,PBEsol
Ag2Ca0.5Ba0.5Sn1Te4,stannite,-0.24,,0.679,PBEsol
Ag2Ca0.5Ba0.5Zr1S4,kesterite,-0.9866,1.1981,1.618,PBEsol
Ag2Ca0.5Ba0.5Zr1S4,stannite,-1.0245,0.8944,1.672,PBEsol
Ag2Ca0.5Ba0.5Zr1Se4,kesterite,-0.8378,1.7877,1.327,PBEsol
Ag2Ca0.5Ba0.5Zr1Se4,stannite,-0.8426,1.7494,1.255,PBEsol
Ag2Ca0.5Ba0.5Zr1Te4,kesterite,-0.3997,2.9795,0.865,PBEsol
Ag2Ca0.5Ba0.5Zr1Te4,stannite,-0.5467,1.8036,1.017,PBEsol
Ag2Ca0.5Cd0.5Ge1S4,kesterite,-0.4949,-0.046,1.14,PBEsol
Ag2Ca0.5Cd0.5Ge1S4,stannite,-0.4949,-0.0459,0.824,PBEsol
Ag2Ca0.5Cd0.5Ge1Se4,kesterite,-0.4197,0.3243,0.537,PBEsol
Ag2Ca0.5Cd0.5Ge1Se4,stannite,-0.4211,0.3131,0.27,PBEsol
Ag2Ca0.5Cd0.5Ge1Te4,kesterite,-0.1634,,0.487,PBEsol
